date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
601,목,600,700,에어서울,1시간 00분,할인석,40800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,600,700,에어서울,1시간 00분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,605,720,진에어,1시간 15분,할인석,38800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,605,715,제주항공,1시간 10분,특가석,39800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,605,715,제주항공,1시간 10분,할인석,42400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,605,720,대한항공진에어공동운항,1시간 15분,일반석,74900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,605,720,진에어,1시간 15분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,605,715,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,610,720,이스타항공,1시간 10분,할인석,37800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,610,720,아시아나항공,1시간 10분,특가석,41900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,610,720,아시아나항공,1시간 10분,할인석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,610,720,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,610,720,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,615,725,진에어,1시간 10분,할인석,38800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,615,730,제주항공,1시간 15분,특가석,43800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,615,730,제주항공,1시간 15분,할인석,46600,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,615,725,대한항공진에어공동운항,1시간 10분,할인석,54900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,615,725,진에어,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,615,730,제주항공,1시간 15분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,615,725,진에어,1시간 10분,비즈니스석,146900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,625,735,제주항공,1시간 10분,할인석,47800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,625,735,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,640,750,티웨이항공,1시간 10분,할인석,47110,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,640,750,대한항공,1시간 10분,특가석,49900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,640,750,아시아나항공,1시간 10분,특가석,50900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,할인석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,640,750,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,640,750,아시아나항공,1시간 10분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,645,805,에어부산,1시간 20분,할인석,37940,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,645,805,에어부산,1시간 20분,일반석,86900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,650,755,이스타항공,1시간 05분,할인석,43800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,650,800,에어서울,1시간 10분,할인석,46800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,650,755,이스타항공,1시간 05분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,650,800,에어서울,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,700,810,티웨이항공,1시간 10분,일반석,82800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,700,810,대한항공,1시간 10분,할인석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,700,810,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,700,810,제주항공,1시간 10분,할인석,87800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,710,830,에어부산,1시간 20분,할인석,73220,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,710,830,에어부산,1시간 20분,일반석,86900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,715,825,대한항공,1시간 10분,할인석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,725,835,아시아나항공,1시간 10분,할인석,86900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,725,835,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,730,840,대한항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,740,850,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,755,905,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,755,905,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,755,905,아시아나항공,1시간 10분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,950,1105,이스타항공,1시간 15분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1120,1230,에어서울,1시간 10분,일반석,82900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1140,1250,이스타항공,1시간 10분,할인석,75800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1140,1250,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1145,1255,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1150,1305,아시아나항공,1시간 15분,할인석,77900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1150,1305,아시아나항공,1시간 15분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1150,1305,아시아나항공,1시간 15분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1155,1305,대한항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1215,1335,제주항공,1시간 20분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1215,1335,제주항공,1시간 20분,할인석,87800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1220,1335,아시아나항공,1시간 15분,할인석,81900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1220,1335,아시아나항공,1시간 15분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1225,1335,아시아나항공,1시간 10분,할인석,81900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1225,1335,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1225,1335,아시아나항공,1시간 10분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1240,1345,제주항공,1시간 05분,할인석,80800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1240,1345,제주항공,1시간 05분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1250,1400,티웨이항공,1시간 10분,일반석,82800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1255,1405,아시아나항공,1시간 10분,할인석,81900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1255,1405,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1255,1405,아시아나항공,1시간 10분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1300,1410,대한항공,1시간 10분,할인석,75900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1310,1420,제주항공,1시간 10분,할인석,73800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1310,1420,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1315,1425,에어서울,1시간 10분,할인석,56800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1315,1425,에어서울,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1320,1430,대한항공,1시간 10분,할인석,67900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1330,1440,제주항공,1시간 10분,할인석,67800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1330,1440,대한항공,1시간 10분,할인석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1330,1440,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1340,1450,이스타항공,1시간 10분,할인석,52800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1340,1450,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1400,1510,아시아나항공,1시간 10분,할인석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1400,1510,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1405,1515,티웨이항공,1시간 10분,일반석,82800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1410,1520,제주항공,1시간 10분,할인석,56800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1410,1520,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1415,1525,대한항공,1시간 10분,특가석,62900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1420,1530,아시아나항공,1시간 10분,특가석,55900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1420,1530,아시아나항공,1시간 10분,할인석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1420,1530,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1420,1530,아시아나항공,1시간 10분,비즈니스석,160900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1435,1545,티웨이항공,1시간 10분,일반석,82800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1440,1550,제주항공,1시간 10분,할인석,51800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1440,1550,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1445,1555,진에어,1시간 10분,할인석,51800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1445,1555,진에어,1시간 10분,일반석,52700,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1445,1555,대한항공진에어공동운항,1시간 10분,할인석,64900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1450,1600,에어서울,1시간 10분,할인석,49800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1450,1600,에어서울,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1455,1605,아시아나항공,1시간 10분,특가석,50900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1455,1605,아시아나항공,1시간 10분,할인석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1455,1605,아시아나항공,1시간 10분,일반석,103900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1455,1605,아시아나항공,1시간 10분,비즈니스석,140900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1500,1610,진에어,1시간 10분,할인석,51800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1500,1610,진에어,1시간 10분,일반석,52700,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1505,1615,에어부산,1시간 10분,할인석,42500,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1505,1615,아시아나항공,1시간 10분,특가석,53900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1505,1615,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1505,1615,에어부산,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1505,1615,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1510,1620,제주항공,1시간 10분,할인석,56800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1510,1620,대한항공,1시간 10분,할인석,67900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1510,1620,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1515,1625,티웨이항공,1시간 10분,할인석,57560,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1515,1625,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1530,1640,제주항공,1시간 10분,할인석,61800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1530,1640,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1535,1645,대한항공,1시간 10분,할인석,62900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1540,1650,이스타항공,1시간 10분,할인석,49800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1540,1650,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1550,1705,제주항공,1시간 15분,할인석,51800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1550,1705,제주항공,1시간 15분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1555,1705,이스타항공,1시간 10분,할인석,49800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1555,1705,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1600,1710,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1600,1710,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1630,1740,대한항공,1시간 10분,할인석,62900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1635,1750,아시아나항공,1시간 15분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1635,1750,아시아나항공,1시간 15분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1635,1750,아시아나항공,1시간 15분,비즈니스석,136900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1650,1805,제주항공,1시간 15분,할인석,61800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1650,1805,제주항공,1시간 15분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1705,1815,대한항공,1시간 10분,특가석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1725,1835,티웨이항공,1시간 10분,할인석,57560,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1725,1835,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1735,1855,에어부산,1시간 20분,할인석,44570,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1735,1855,에어부산,1시간 20분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1740,1850,티웨이항공,1시간 10분,할인석,57560,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1740,1850,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1750,1900,대한항공,1시간 10분,특가석,55900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1750,1900,아시아나항공,1시간 10분,할인석,62900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1750,1900,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1750,1900,아시아나항공,1시간 10분,비즈니스석,156900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1750,1900,대한항공,1시간 10분,비즈니스석,156900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1800,1910,에어서울,1시간 10분,할인석,53800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1800,1910,에어서울,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1810,1920,에어부산,1시간 10분,할인석,44570,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1810,1920,이스타항공,1시간 10분,할인석,49800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1810,1920,티웨이항공,1시간 10분,할인석,57560,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1810,1920,에어부산,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
601,목,1810,1920,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1810,1920,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1815,1925,제주항공,1시간 10분,할인석,61800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1815,1925,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1820,1930,대한항공,1시간 10분,특가석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1825,1935,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1825,1935,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1825,1935,아시아나항공,1시간 10분,비즈니스석,136900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1835,1945,대한항공,1시간 10분,특가석,59900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1835,1945,대한항공,1시간 10분,비즈니스석,156900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1845,1955,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1845,1955,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1845,1955,아시아나항공,1시간 10분,비즈니스석,136900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1850,2000,티웨이항공,1시간 10분,할인석,57560,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1850,2000,티웨이항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
601,목,1855,2005,아시아나항공,1시간 10분,할인석,57900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1855,2005,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1900,2010,대한항공,1시간 10분,할인석,62900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1905,2015,진에어,1시간 10분,할인석,60800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1905,2015,진에어,1시간 10분,일반석,61900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1910,2020,제주항공,1시간 10분,할인석,61800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1910,2020,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1920,2030,에어서울,1시간 10분,할인석,60800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1920,2030,대한항공,1시간 10분,할인석,67900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
601,목,1920,2035,아시아나항공,1시간 15분,할인석,75900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1920,2030,에어서울,1시간 10분,일반석,83900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
601,목,1920,2035,아시아나항공,1시간 15분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1920,2035,아시아나항공,1시간 15분,비즈니스석,156900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,1925,2035,이스타항공,1시간 10분,할인석,57800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1925,2035,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1930,2040,제주항공,1시간 10분,할인석,73800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1930,2040,제주항공,1시간 10분,일반석,84900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
601,목,1935,2050,진에어,1시간 15분,할인석,77800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1935,2050,진에어,1시간 15분,일반석,79200,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
601,목,1945,2055,이스타항공,1시간 10분,할인석,72800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,1945,2055,이스타항공,1시간 10분,일반석,84800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
601,목,2050,2200,아시아나항공,1시간 10분,할인석,88900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,2050,2200,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,2120,2230,아시아나항공,1시간 10분,일반석,100900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
601,목,2120,2230,아시아나항공,1시간 10분,비즈니스석,156900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,600,700,에어서울,1시간 00분,할인석,100800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
602,금,600,700,에어서울,1시간 00분,일반석,107400,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
602,금,605,720,진에어,1시간 15분,할인석,96800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
602,금,605,720,진에어,1시간 15분,일반석,98600,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
602,금,605,715,제주항공,1시간 10분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,605,715,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,610,720,이스타항공,1시간 10분,할인석,92800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
602,금,610,720,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,610,720,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
602,금,610,720,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,615,725,진에어,1시간 10분,할인석,96800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
602,금,615,725,진에어,1시간 10분,일반석,98600,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
602,금,615,730,제주항공,1시간 15분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,615,730,제주항공,1시간 15분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,615,725,진에어,1시간 10분,비즈니스석,176900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
602,금,620,730,티웨이항공,1시간 10분,일반석,118800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
602,금,625,735,제주항공,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,625,735,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,640,750,아시아나항공,1시간 10분,할인석,110900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,640,750,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,640,750,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,645,805,에어부산,1시간 20분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
602,금,650,755,이스타항공,1시간 05분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
602,금,715,825,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,725,835,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,730,840,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,755,905,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
602,금,755,905,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,810,920,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,830,940,에어부산,1시간 10분,할인석,134000,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
602,금,930,1040,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,950,1100,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,1000,1115,제주항공,1시간 15분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,1000,1115,제주항공,1시간 15분,할인석,125400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
602,금,1030,1145,대한항공,1시간 15분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
602,금,1040,1150,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
602,금,1055,1215,에어부산,1시간 20분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
602,금,1100,1205,진에어,1시간 05분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
